"TIME","GEO","INDIC_IL","SEX","AGE","Value","Flag and Footnotes"
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","From 18 to 64 years",":",""
"2007","European Union (28 countries)","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","65 years or over",":",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Total","27.5",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","Less than 18 years","31.4",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","From 18 to 64 years","26.4",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Total","65 years or over","26.6",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","26.4",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","Less than 18 years","31.7",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","From 18 to 64 years","25.2",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Males","65 years or over","23.8",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","28.5",""
"2007","Belgium","At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers)","Females","Less than 18 years","31.1",""
