"TIME","GEO","SPDEPS","UNIT","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Total expenditure","Million euro",":",""
"2007","European Union (28 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Total expenditure","Euro per inhabitant",":",""
"2007","European Union (28 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Total expenditure","Million units of national currency",":",""
"2007","European Union (28 countries)","Total expenditure","Percentage of gross domestic product (GDP)",":",""
"2007","European Union (28 countries)","Total expenditure","Percentage of total expenditure",":",""
"2007","European Union (28 countries)","Social protection benefits","Million euro",":",""
"2007","European Union (28 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Social protection benefits","Euro per inhabitant",":",""
"2007","European Union (28 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Social protection benefits","Million units of national currency",":",""
"2007","European Union (28 countries)","Social protection benefits","Percentage of gross domestic product (GDP)",":",""
"2007","European Union (28 countries)","Social protection benefits","Percentage of total expenditure",":",""
"2007","European Union (28 countries)","Administration costs","Million euro",":",""
"2007","European Union (28 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Administration costs","Euro per inhabitant",":",""
"2007","European Union (28 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Administration costs","Million units of national currency",":",""
"2007","European Union (28 countries)","Administration costs","Percentage of gross domestic product (GDP)",":",""
"2007","European Union (28 countries)","Administration costs","Percentage of total expenditure",":",""
"2007","European Union (28 countries)","Other expenditure","Million euro",":",""
"2007","European Union (28 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Other expenditure","Euro per inhabitant",":",""
"2007","European Union (28 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Other expenditure","Million units of national currency",":",""
"2007","European Union (28 countries)","Other expenditure","Percentage of gross domestic product (GDP)",":",""
"2007","European Union (28 countries)","Other expenditure","Percentage of total expenditure",":",""
"2007","European Union (28 countries)","Sickness/Health care","Million euro",":",""
"2007","European Union (28 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Sickness/Health care","Euro per inhabitant",":",""
"2007","European Union (28 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (28 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","European Union (28 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)",":",""
"2007","European Union (28 countries)","Sickness/Health care","Percentage of total expenditure",":",""
"2007","European Union (27 countries)","Total expenditure","Million euro","3,271,200.76","p"
"2007","European Union (27 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Total expenditure","Euro per inhabitant","6,608.57","p"
"2007","European Union (27 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Total expenditure","Million units of national currency",":",""
"2007","European Union (27 countries)","Total expenditure","Percentage of gross domestic product (GDP)","25.3","p"
"2007","European Union (27 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2007","European Union (27 countries)","Social protection benefits","Million euro","3,133,687.10","p"
"2007","European Union (27 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Social protection benefits","Euro per inhabitant","6,330.76","p"
"2007","European Union (27 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Social protection benefits","Million units of national currency",":",""
"2007","European Union (27 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","24.2","p"
"2007","European Union (27 countries)","Social protection benefits","Percentage of total expenditure","95.80","p"
"2007","European Union (27 countries)","Administration costs","Million euro","100,645.57","p"
"2007","European Union (27 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Administration costs","Euro per inhabitant","203.33","p"
"2007","European Union (27 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Administration costs","Million units of national currency",":",""
"2007","European Union (27 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.8","p"
"2007","European Union (27 countries)","Administration costs","Percentage of total expenditure","3.08","p"
"2007","European Union (27 countries)","Other expenditure","Million euro","36,868.09","p"
"2007","European Union (27 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Other expenditure","Euro per inhabitant","74.48","p"
"2007","European Union (27 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Other expenditure","Million units of national currency",":",""
"2007","European Union (27 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2007","European Union (27 countries)","Other expenditure","Percentage of total expenditure","1.13","p"
"2007","European Union (27 countries)","Sickness/Health care","Million euro","910,843.37","p"
"2007","European Union (27 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Sickness/Health care","Euro per inhabitant","1,840.11","p"
"2007","European Union (27 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2007","European Union (27 countries)","Sickness/Health care","Million units of national currency",":",""
"2007","European Union (27 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","7.0","p"
"2007","European Union (27 countries)","Sickness/Health care","Percentage of total expenditure","27.84","p"
"2007","European Union (25 countries)","Total expenditure","Million euro","3,249,921.33","p"
"2007","European Union (25 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2007","European Union (25 countries)","Total expenditure","Euro per inhabitant","6,965.63","p"
